File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\keyboard\index.php,2,1,0,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\keyboard-links.php,89,66,14,0,5,10,18,155,0,0
C:\xampp\htdocs\keyboard\keyboard-list.php,159,124,61,3,14,10,21,163,0,0
C:\xampp\htdocs\keyboard\keyboard-log.php,294,271,14,0,5,10,18,155,0,0
C:\xampp\htdocs\keyboard\keyboard.php,479,436,159,15,14,13,29,207,0,0
C:\xampp\htdocs\keyboard\lib\cubescatter.js,318,264,169,36,16,2,38,254,22,157
C:\xampp\htdocs\keyboard\lib\keyboard-footer.js,57,29,17,6,4,0,24,151,18,120
C:\xampp\htdocs\keyboard\lib\keyboard-frontend.js,272,230,152,25,18,2,24,157,18,120
C:\xampp\htdocs\keyboard\lib\keyboard-list.js,31,10,6,0,3,0,18,120,18,120
C:\xampp\htdocs\keyboard\lib\keyboard-submit.js,1316,1154,708,99,96,9,66,414,18,120
C:\xampp\htdocs\keyboard\lib\embed_Doraemon.css,8,7,7,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_FunKey.css,8,7,7,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_GradientBlack.css,8,7,7,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_GradientWhite.css,8,7,7,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_Grayscale.css,8,7,7,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_Kitty.css,8,7,7,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_Kozierok.css,8,7,7,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_LCHPlainBlack.css,10,9,9,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_LCHPlainWhite.css,19,18,18,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_LCHShinyBlack.css,10,9,9,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_LCHShinyWhite.css,10,9,9,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_SaturatedBlack.css,8,7,7,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_SaturatedWhite.css,8,7,7,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_Savard.css,8,7,7,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\embed_Test.css,64,61,56,0,1,8,2,38,0,0
C:\xampp\htdocs\keyboard\lib\embed_WarmBlack.css,8,7,7,0,1,0,0,0,0,0
