Word,Count
,335
the,260
(,213
by,192
of,137
\74,\,136
CIE-L*ch,114
is,103
for,96
it,84
This,72
program,72
License,72
General,72
Lesser,72
Public,72
GNU,72
utilized,65
and,64
set,62
\50,\,60
\40,\,60
or,59
this,59
a,52
version,49
Keyboard,49
Diagrams,48
files,48
Video,48
Game,48
in,47
to,45
be,41
should,38
with,37
file,36
that,31
later,30
can,30
have,30
90),30
reset,29
as,29
=,29
under,28
but,28
PHP,27
30),27
Michael,27
selThisLayoutChart(),27
checkForErrors(),27
more,26
You,26
any,26
not,26
you,26
JS,25
HTML,25
checkURLParameters(),25
Horvath,25
if,25
3,25
free,24
Copyright,24
MERCHANTABILITY,24
your,24
either,24
2018,24
WARRANTY;,24
will,24
see,24
part,24
copy,24
received,24
even,24
implied,24
hope,24
See,24
terms,24
redistribute,24
PARTICULAR,24
PURPOSE,24
A,24
modify,24
\useful,\,24
<https://www.gnu.org/licenses/>,24
\License,\,24
FOR,24
warranty,24
and/or,24
software:,24
option),24
along,24
WITHOUT,24
Free,24
published,24
without,24
\Foundation,\,24
details,24
(at,24
distributed,24
(C),24
ANY,24
FITNESS,24
If,24
Software,24
\not,\,24
MySQL,23
\0,\,21
http://www.easyrgb.com/index.php?X=CALC,20
0),19
old,18
populated,18
need,17
are,16
CIE-L*Ch(ab),16
D65/2°,16
\checkURLParameters(),\,16
here,16
\40,270)\,15
\40,330)\,15
\37,\,15
\40,210)\,15
blue,15
red,15
magenta,15
green,15
60),15
cyan,15
\40,120)\,15
\40,150)\,15
these,14
queries,14
\.uppnor,\,13
\.capopt,\,13
//,13
\.uppagr,\,13
\.lownor,\,13
.capopf,13
connection,13
\97,330)\,12
\29,210)\,12
\88,\,12
\55,150)\,12
\47,270)\,12
URL,11
from,11
footer,11
\selDefaultsAll(),\,11
I,11
function,11
get,11
\null"\,\,10
since,10
gather,10
0);,10
var,10
instead,9
validate,9
support,9
pageTitle(),9
Opera,8
so,8
because,7
\checkForErrors(),\,7
too,7
missing,7
database,7
everything,7
check,7
at,7
default,7
has,7
make,7
there,7
parameters,7
does,7
note,6
dashes,6
\platform_id,\,6
1,6
only,6
Gradient,6
layout,6
button,6
stored,6
do,6
gray,6
my,6
<a,6
replace,6
\target=\"\_blank\"\\,6
close,6
.keyorg,5
exist,5
procedures,5
These,5
'non',5
use,5
urlqueries,5
black,5
.keygrn,5
synced,5
.keyred,5
them,5
.keyyel,5
\"\keyboard-footer-1.php"\\,5
white,5
\game_id,\,5
.keyblk,5
web,5
values,5
.keycyn,5
key,5
.keymag,5
.keynon,5
.keyolv,5
.keygry,5
---------------------------------------------------------------------,5
non,5
Not,5
darker,5
.keybrn,5
{background:#ffffff;color:#000000;},5
.keyblu,5
one,5
host,5
cleaning,5
selThisLanguageStringsChart(),5
variables,5
already,5
\"\keyboard-footer.php"\\,5
created,5
.keywht,5
local,5
browsers,5
recalculate,4
licensed,4
\genre_id,\,4
been,4
game_friendlyurl,4
\src=\"\"\\,4
\Chrome,\,4
0,4
{background:#d0d0d0;color:#000000;},4
9,4
\Safari,\,4
all,4
much,4
necessary,4
\game_name,\,4
&,4
legend,4
keep,4
{alignment-baseline:ideographic;},4
.hang,4
$path_lib1,4
was,4
Will,4
\keygroup_id,\,4
yellow,4
open,4
outer,4
form,4
may,4
yet,4
\"\keyboard-init.php"\\,4
captcha,4
sure,4
/*,4
names,4
0;,4
.ideo,4
add,4
\rel=\"\license\"\\,4
echo,4
radio,4
Firefox,4
bounds,4
don't,4
selThisStyleChart(),4
\stylegroup_id,\,4
{alignment-baseline:hanging;},4
obsolete,4
\icon\"\\,4
page,4
BY-SA,4
IE,4
probably,3
implemented,3
keys,3
an,3
blank,3
also,3
string,3
color,3
column,3
+,3
\symbol_norm_cap,\,3
little,3
fetch,3
\ctrl_action,\,3
\symbol_altgr_cap,\,3
\position_top,\,3
\symbol_altgr_low,\,3
some,3
validity,3
return,3
Dark,3
better,3
labels,3
into,3
checking,3
\shift_group,\,3
\hardcoded,\,3
\position_left,\,3
\layout_id,\,3
olive,3
$format_id,3
\key_number,\,3
could,3
commands,3
though,3
still,3
\style_id,\,3
\shift_action,\,3
author_id,3
numpad,3
indicator,3
submission,3
\normal_group,\,3
text,3
each,3
\normal_action,\,3
might,3
\position_width,\,3
table,3
stylegroup_name,3
\ctrl_group,\,3
script,3
Light,3
message,3
TSV,3
send,3
\symbol_norm_low,\,3
\position_height,\,3
\platform_name,\,3
query,3
background,3
\record_id,\,3
key_number,3
needed,3
\altgr_group,\,3
very,3
\alt_group,\,3
\extra_action,\,3
\altgr_action,\,3
what,3
once,3
\image_file,\,3
would,3
ok,3
\extra_group,\,3
columns,3
layout_id,3
like,3
orange,3
\alt_action,\,3
Need,3
brown,3
\"\Binding\,3
\parameters,\,3
starts,2
Create,2
again,2
\image_uri,\,2
correct,2
using,2
altgr,2
print,2
on,2
rotate(90deg),2
number,2
\style=\"\border-width:0;\"\\,2
4,2
\(100,\,2
selAuthorsChart(),2
special,2
\notes"\\,2
many,2
double,2
genre_name,2
it's,2
print_key_html,2
skip,2
1/2;,2
parameter,2
supposed,2
\dimensions,\,2
project,2
/></a><a,2
Shiny,2
/></a></p>,2
[];,2
\www.gnu.org/licenses/lgpl-3.0.en.html\"\><img\,2
error,2
https://stackoverflow.com/questions/30006081/recaptcha-2-0-with-ajax,2
keygroup_class,2
dash,2
$svg_bool,2
by:,2
selKeyStylesChart(),2
'inline-block';,2
multiple,2
{background:url(../images/isometric_grid.png),2
code,2
uncomment,2
put,2
'none';,2
visual,2
\style_name,\,2
cube_min_rgt,2
\href=\"\https://www.gnu.org/licenses/lgpl-3.0.en.html\"\>GNU\,2
anyway,2
hidden,2
fields,2
\"\license_lgpl_88x31.png\"\\,2
$fix_url,2
8,2
selThisGamesRecordChart(),2
stylegroup_id,2
\selContribsGamesChart(),\,2
Horvath</a>,2
\"\non"\\,2
selThisStylesRecordChart(),2
break,2
#666;},2
kept,2
style,2
both,2
find,2
maybe,2
Chrome,2
name,2
\"\\,2
three,2
\error_log("\game_id\,2
(the,2
hopefully,2
\selContribsLayoutsChart(),\,2
display,2
4px,2
cleaned,2
\href=\"\https://github.com/mjhorvath/vgkd\"\>GitHub</a>.</p>\,2
\error_log("\game_seo\,2
point,2
cube_min_lft,2
someone's,2
html,2
Can't,2
{background:#000000;color:#ffffff;},2
selPositionsChart(),2
trim,2
font-family:Arial,2
\selContribsStylesChart(),\,2
true;,2
layout_name,2
\layout_name,\,2
\Narrow,sans-serif;\,2
remember,2
body,2
\commandtype_id,\,2
CIELCh,2
LGPLv3</a>,2
subtract,2
THE,2
they,2
list,2
\isometricland.net\"\>Michael\,2
working,2
mind,2
messages,2
following,2
\lowcap_optional,\,2
functions,2
\selStylesChart(),\,2
selLegendsChart(),2
lowercase,2
something,2
when,2
1;,2
\"\front"\\,2
\alt=\"\CC\,2
selBindingsChart(),2
work,2
\Gecko,\,2
scheme,2
bindings,2
non-alphanumeric,2
accordion,2
fix,2
\counterpart,\,2
no,2
