File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\keyboard\keyboard-list.php,foreach($game_table as $i => $game_value),49,44,31,2,5,0,0,0,
C:\xampp\htdocs\keyboard\keyboard-sitemap.php,foreach($game_table as $i => $game_value),36,30,19,2,4,0,2,26,
C:\xampp\htdocs\keyboard\keyboard.php,foreach($seourl_table as $i => $seourl_value),8,8,6,1,0,0,0,0,
C:\xampp\htdocs\keyboard\keyboard.php,foreach($game_table as $i => $game_value),7,7,5,1,0,0,0,0,
C:\xampp\htdocs\keyboard\keyboard.php,foreach($style_table as $i => $style_value),7,7,5,1,0,0,0,0,
C:\xampp\htdocs\keyboard\keyboard.php,foreach($layout_table as $i => $layout_value),47,47,33,5,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-all.js,cleantextHTML(in_string),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-all.js,cleantextTSV(in_string),7,7,5,2,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-all.js,cleannumberTSV(in_number),6,6,4,2,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-all.js,does_not_work_yet(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-all.js,test_function(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-cubescatter.js,grid_init(),9,9,5,2,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-cubescatter.js,grid_location(in_coo),6,6,6,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-cubescatter.js,cube_init(),63,63,43,12,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-cubescatter.js,"cube_sort(a, b)",6,6,4,5,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-cubescatter.js,snake_init(),18,17,15,1,0,0,1,9,
C:\xampp\htdocs\keyboard\lib\java-cubescatter.js,snake_move(),50,50,30,10,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-cubescatter.js,"snake_position(temp_dir, flag)",42,40,28,4,0,1,2,30,
C:\xampp\htdocs\keyboard\lib\java-cubescatter.js,cube_scatter(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-footer.js,"reloadThisPage(gameID, layoutID, gameSeo)",9,8,6,1,0,0,1,5,
C:\xampp\htdocs\keyboard\lib\java-footer.js,"getValueFromDropDownList(formname, listname)",4,4,4,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-footer.js,getValueFromRadioButton(buttonsname),11,11,7,4,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,Toggle_Waiting(thisBool),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,Reset_Page(),40,34,29,3,5,0,1,5,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,"Set_Game(thisindex, thiselement)",42,42,26,6,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,"Set_Style(thisindex, thiselement)",42,42,26,6,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,Set_Select_Value(thisElement),34,30,24,2,0,0,4,12,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,Select_Init(),9,9,7,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,Check_Values_and_Spawn(),21,21,17,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,getValueFromRadioButton(name),11,11,7,4,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,resetRadioButtons(name),10,10,6,2,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,enableResetButton(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-frontend.js,disableResetButton(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-list.js,Toggle_Waiting(thisBool),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-list.js,Wait_and_Sort(colNum),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-sitemap.js,clear_all(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-sitemap.js,select_and_copy_all(),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,init_submissions(),9,8,8,0,0,0,1,1,
C:\xampp\htdocs\keyboard\lib\java-submit.js,hide_loading_image(),2,2,2,0,0,0,0,0,
