Best ratios under 1600 width:
1351 x 780 ( 0.000027% )
989 x 571 ( 0.000102% )
362 x 209 ( 0.000382% )
724 x 418 ( 0.000382% )
1086 x 627 ( 0.000382% )
1448 x 836 ( 0.000382% )
627 x 362 ( 0.000382% )
1254 x 724 ( 0.000382% )
1519 x 877 ( 0.000563% )
1545 x 892 ( 0.000691% )
892 x 515 ( 0.000691% )
1183 x 683 ( 0.000786% )
1157 x 668 ( 0.000859% )
821 x 474 ( 0.000964% )
1422 x 821 ( 0.000964% )


Best ratios ranked by size:
1351 x 780 ( 0.00003% )
989 x 571 ( 0.00010% )
362 x 209 ( 0.00038% )
265 x 153 ( 0.00142% )
97 x 56 ( 0.00531% )
71 x 41 ( 0.01984% )
26 x 15 ( 0.07399% )
19 x 11 ( 0.27663% )
7 x 4 ( 1.02567% )
